areacd,areanm,period,value
S92000003,Scotland,2004-01-01/P1Y,23.84
S92000003,Scotland,2005-01-01/P1Y,23.74
S92000003,Scotland,2006-01-01/P1Y,24.91
S92000003,Scotland,2007-01-01/P1Y,25.87
S92000003,Scotland,2008-01-01/P1Y,26.93
S92000003,Scotland,2009-01-01/P1Y,27.9
S92000003,Scotland,2010-01-01/P1Y,28.74
S92000003,Scotland,2011-01-01/P1Y,29.42
S92000003,Scotland,2012-01-01/P1Y,30.12
S92000003,Scotland,2013-01-01/P1Y,30.85
S92000003,Scotland,2014-01-01/P1Y,31.55
S92000003,Scotland,2015-01-01/P1Y,32.18
S92000003,Scotland,2016-01-01/P1Y,32.78
S92000003,Scotland,2017-01-01/P1Y,33.59
S92000003,Scotland,2018-01-01/P1Y,34.71
S92000003,Scotland,2019-01-01/P1Y,35.91
S92000003,Scotland,2020-01-01/P1Y,37.27
S92000003,Scotland,2021-01-01/P1Y,38.75
S92000003,Scotland,2022-01-01/P1Y,40.28
S92000003,Scotland,2023-01-01/P1Y,41.28
W92000004,Wales,2004-01-01/P1Y,21.29
W92000004,Wales,2005-01-01/P1Y,21.23
W92000004,Wales,2006-01-01/P1Y,22.16
W92000004,Wales,2007-01-01/P1Y,22.87
W92000004,Wales,2008-01-01/P1Y,23.53
W92000004,Wales,2009-01-01/P1Y,24.06
W92000004,Wales,2010-01-01/P1Y,24.65
W92000004,Wales,2011-01-01/P1Y,25.27
W92000004,Wales,2012-01-01/P1Y,25.89
W92000004,Wales,2013-01-01/P1Y,26.35
W92000004,Wales,2014-01-01/P1Y,26.73
W92000004,Wales,2015-01-01/P1Y,27.21
W92000004,Wales,2016-01-01/P1Y,27.82
W92000004,Wales,2017-01-01/P1Y,28.66
W92000004,Wales,2018-01-01/P1Y,29.7
W92000004,Wales,2019-01-01/P1Y,30.82
W92000004,Wales,2020-01-01/P1Y,31.93
W92000004,Wales,2021-01-01/P1Y,33.13
W92000004,Wales,2022-01-01/P1Y,34.32
W92000004,Wales,2023-01-01/P1Y,35.15
